"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__ball1","auto__ball2","auto__ball3","auto__ball4","auto__ball5","auto__inrobot","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","brownout","breakdown"
"2022orwil_qm15","qm",1,15,"frc6443",6443,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,1,0,4,0,"none",0,false,false
"2022orwil_qm15","qm",1,15,"frc4450",4450,"blue",3,"aasha",true,"1",true,false,false,false,false,false,2,0,0,0,"none",0,false,false
"2022orwil_qm16","qm",1,16,"frc957",957,"red",1,"Suhaani",true,"4",false,false,false,false,false,false,0,0,7,0,"mid",6,false,false
"2022orwil_qm16","qm",1,16,"frc4662",4662,"red",2,"katelyn",true,"3",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
"2022orwil_qm16","qm",1,16,"frc3024",3024,"red",3,"Gavin",true,"4",false,false,false,false,false,false,0,0,1,0,"traverse",0,false,false
"2022orwil_qm16","qm",1,16,"frc3131",3131,"blue",1,"asher",false,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm16","qm",1,16,"frc2898",2898,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,0,2,0,2,"mid",0,false,false
"2022orwil_qm16","qm",1,16,"frc997",997,"blue",3,"aasha",true,"4",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm17","qm",1,17,"frc4057",4057,"red",1,"",true,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm17","qm",1,17,"frc753",753,"red",2,"",false,"2",false,false,false,false,false,true,0,0,0,0,"traverse",0,false,false
"2022orwil_qm17","qm",1,17,"frc2471",2471,"red",3,"casey",false,"4",false,false,true,true,false,false,0,0,6,0,"mid",7,false,false
"2022orwil_qm17","qm",1,17,"frc1540",1540,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,5,0,"low",0,false,false
"2022orwil_qm17","qm",1,17,"frc3673",3673,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,0,0,0,4,"none",0,false,false
"2022orwil_qm17","qm",1,17,"frc3636",3636,"blue",3,"aasha",true,"1",false,false,false,false,false,false,0,0,4,0,"traverse",0,false,false
"2022orwil_qm18","qm",1,18,"frc4127",4127,"red",1,"Suhaani",true,"1",false,false,false,false,false,false,0,0,0,0,"low",0,false,false
"2022orwil_qm18","qm",1,18,"frc2990",2990,"red",2,"",false,"4",false,false,false,false,false,true,0,0,1,0,"traverse",0,false,false
"2022orwil_qm18","qm",1,18,"frc2733",2733,"red",3,"casey",false,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm18","qm",1,18,"frc1359",1359,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,1,0,2,"mid",0,false,false
"2022orwil_qm18","qm",1,18,"frc2635",2635,"blue",2,"Sam W",false,"1",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm18","qm",1,18,"frc5970",5970,"blue",3,"aasha",true,"2",false,false,false,false,false,false,1,0,0,5,"mid",0,false,false
"2022orwil_qm19","qm",1,19,"frc1425",1425,"red",1,"Suhaani",true,"3",false,false,false,false,false,false,3,0,2,0,"none",0,false,false
"2022orwil_qm19","qm",1,19,"frc2374",2374,"red",2,"",true,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm19","qm",1,19,"frc2915",2915,"red",3,"casey",false,"1",false,false,false,false,false,false,0,1,0,7,"none",0,false,false
"2022orwil_qm19","qm",1,19,"frc6696",6696,"blue",1,"Emmet",false,"2",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm19","qm",1,19,"frc568",568,"blue",2,"Sam W",false,"3",false,false,false,false,false,false,0,1,0,0,"none",0,true,false
"2022orwil_qm19","qm",1,19,"frc957",957,"blue",3,"aasha",true,"4",false,false,false,false,false,false,0,0,0,0,"mid",0,false,false
"2022orwil_qm20","qm",1,20,"frc997",997,"red",1,"Suhaani",false,"1",false,false,false,false,false,false,0,0,0,0,"traverse",0,false,false
"2022orwil_qm20","qm",1,20,"frc2046",2046,"red",2,"",true,"4",false,false,false,false,false,false,0,0,9,0,"none",0,false,false
"2022orwil_qm20","qm",1,20,"frc2898",2898,"red",3,"casey",false,"2",true,false,false,false,false,false,0,2,0,2,"mid",8,false,false
"2022orwil_qm20","qm",1,20,"frc1540",1540,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,2,0,7,0,"mid",0,false,false
"2022orwil_qm20","qm",1,20,"frc4450",4450,"blue",2,"Sam W",true,"2",false,false,false,false,false,false,1,0,2,0,"none",0,false,false
"2022orwil_qm20","qm",1,20,"frc3673",3673,"blue",3,"aasha",true,"1",false,false,false,false,false,false,0,0,0,1,"traverse",0,false,false
"2022orwil_qm21","qm",1,21,"frc3131",3131,"red",1,"",true,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
"2022orwil_qm21","qm",1,21,"frc6343",6343,"red",2,"",false,"2",false,false,false,false,false,true,0,2,0,2,"none",0,false,false
"2022orwil_qm21","qm",1,21,"frc5970",5970,"red",3,"casey",false,"4",false,false,true,false,false,false,0,1,0,6,"mid",5,false,false
"2022orwil_qm21","qm",1,21,"frc3636",3636,"blue",1,"Emmet",false,"4",false,false,false,false,false,false,0,0,5,0,"high",0,false,false
"2022orwil_qm21","qm",1,21,"frc4662",4662,"blue",2,"Sam W",true,"1",false,false,false,false,false,false,1,0,1,0,"none",0,false,false
"2022orwil_qm21","qm",1,21,"frc4057",4057,"blue",3,"aasha",true,"3",false,false,false,false,false,false,0,0,0,0,"none",0,false,false
