"MatchKey","Type","SetNum","MatchNum","MatchTeamKey","TeamNumber","Alliance","Position","match_scouter","auto__tarmac","auto__starting_position","auto__highhub","auto__lowhub","teleop__highhub","teleop__lowhub","endgame__climb_position","endgame__climbtime","breakdown","defended","playeddefense"
"2022orsal_qm14","qm",1,14,"frc2811",2811,"red",1,"Aasha 2811",true,"3",4,0,8,0,"mid",0,false,false,false
"2022orsal_qm14","qm",1,14,"frc1432",1432,"red",2,"casey",false,"2",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm14","qm",1,14,"frc753",753,"red",3,"Gavin",false,"3",0,0,0,0,"none",0,true,false,false
"2022orsal_qm14","qm",1,14,"frc3636",3636,"blue",1,"lily",true,"4",1,0,15,0,"none",0,false,false,false
"2022orsal_qm14","qm",1,14,"frc3812",3812,"blue",2,"ALEX",false,"4",2,0,6,0,"traverse",0,false,false,false
"2022orsal_qm14","qm",1,14,"frc8032",8032,"blue",3,"Suhaani",true,"1",0,1,0,3,"mid",3,false,false,false
"2022orsal_qm15","qm",1,15,"frc2471",2471,"red",1,"aasha",true,"4",3,0,6,0,"traverse",0,false,false,false
"2022orsal_qm15","qm",1,15,"frc2990",2990,"red",2,"casey",false,"1",2,0,8,0,"traverse",6,false,false,false
"2022orsal_qm15","qm",1,15,"frc3131",3131,"red",3,"Gavin",false,"2",0,0,0,0,"none",0,true,false,false
"2022orsal_qm15","qm",1,15,"frc4057",4057,"blue",1,"lily",true,"3",0,2,0,14,"none",0,false,false,false
"2022orsal_qm15","qm",1,15,"frc997",997,"blue",2,"alex",false,"4",0,1,0,0,"traverse",0,false,false,true
"2022orsal_qm15","qm",1,15,"frc5468",5468,"blue",3,"",true,"2",0,1,2,2,"mid",0,false,false,false
"2022orsal_qm16","qm",1,16,"frc3673",3673,"red",1,"Aasha 3674",true,"2",0,0,0,0,"none",0,false,false,false
"2022orsal_qm16","qm",1,16,"frc1425",1425,"red",2,"casey",false,"3",1,0,7,0,"traverse",6,false,false,false
"2022orsal_qm16","qm",1,16,"frc2521",2521,"red",3,"Gavin",false,"2",2,0,9,0,"traverse",0,false,false,false
"2022orsal_qm16","qm",1,16,"frc3024",3024,"blue",1,"lily",false,"2",1,0,1,0,"none",0,false,false,false
"2022orsal_qm16","qm",1,16,"frc5450",5450,"blue",2,"alex",false,"1",0,0,2,0,"traverse",0,false,false,false
"2022orsal_qm16","qm",1,16,"frc4488",4488,"blue",3,"Suhaani",false,"4",4,0,9,1,"high",0,false,false,false
"2022orsal_qm17","qm",1,17,"frc3674",3674,"red",1,"Aasha 3674",true,"2",2,0,2,0,"high",0,false,false,false
"2022orsal_qm17","qm",1,17,"frc753",753,"red",2,"casey",false,"4",0,0,0,0,"none",0,false,false,false
"2022orsal_qm17","qm",1,17,"frc2635",2635,"red",3,"Gavin",false,"2",0,0,1,0,"mid",0,false,false,false
"2022orsal_qm17","qm",1,17,"frc2733",2733,"blue",1,"lily - hayden (sub)",false,"2",1,0,0,0,"mid",8,false,false,false
"2022orsal_qm17","qm",1,17,"frc6465",6465,"blue",2,"",false,"1",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm17","qm",1,17,"frc3636",3636,"blue",3,"Suhaani",true,"4",0,0,9,0,"traverse",0,false,true,false
"2022orsal_qm18","qm",1,18,"frc1359",1359,"red",1,"Aasha",true,"3",0,1,0,4,"mid",0,false,false,false
"2022orsal_qm18","qm",1,18,"frc8032",8032,"red",2,"casey",false,"3",0,0,0,0,"none",0,false,false,false
"2022orsal_qm18","qm",1,18,"frc4043",4043,"red",3,"Ayden",true,"1",0,1,0,5,"mid",1,false,false,true
"2022orsal_qm18","qm",1,18,"frc3812",3812,"blue",1,"lily",true,"2",0,0,4,0,"none",0,false,false,false
"2022orsal_qm18","qm",1,18,"frc2811",2811,"blue",2,"alex",false,"3",0,0,11,0,"mid",0,false,false,false
"2022orsal_qm18","qm",1,18,"frc6443",6443,"blue",3,"Suhaani ",true,"4",0,0,5,0,"high",0,false,false,false
"2022orsal_qm19","qm",1,19,"frc1432",1432,"red",1,"Aasha",true,"2",0,0,0,0,"traverse",0,false,false,false
"2022orsal_qm19","qm",1,19,"frc957",957,"red",2,"casey",false,"4",1,0,3,0,"mid",0,false,false,false
"2022orsal_qm19","qm",1,19,"frc5468",5468,"red",3,"Ayden",true,"3",0,0,2,0,"traverse",9,false,false,true
"2022orsal_qm19","qm",1,19,"frc7034",7034,"blue",1,"lily",true,"2",1,0,6,0,"traverse",10,false,false,false
"2022orsal_qm19","qm",1,19,"frc955",955,"blue",2,"alex",false,"1",2,0,6,0,"traverse",0,false,false,false
"2022orsal_qm19","qm",1,19,"frc2471",2471,"blue",3,"Suhaani mean machine",false,"4",3,0,16,0,"mid",0,false,false,false
"2022orsal_qm20","qm",1,20,"frc2635",2635,"red",1,"Aasha",true,"2",0,0,0,0,"none",0,false,false,false
"2022orsal_qm20","qm",1,20,"frc4488",4488,"red",2,"casey",false,"4",3,0,6,0,"none",0,false,false,false
"2022orsal_qm20","qm",1,20,"frc3131",3131,"red",3,"Ayden",false,"1",0,0,0,0,"none",0,false,false,true
"2022orsal_qm20","qm",1,20,"frc2521",2521,"blue",1,"lily",true,"1",2,0,9,0,"mid",8,false,false,false
"2022orsal_qm20","qm",1,20,"frc3636",3636,"blue",2,"alex",false,"4",1,0,13,0,"none",0,false,true,false
"2022orsal_qm20","qm",1,20,"frc3024",3024,"blue",3,"Suhaani 3024",true,"2",0,0,5,0,"mid",0,false,false,false
"2022orsal_qm21","qm",1,21,"frc6465",6465,"red",1,"Aasha",false,"3",0,0,0,0,"none",0,false,false,false
